id;type;identifier;valid_to;jhi_primary
1;ID_CARD;maroon;2020-09-17;false
2;SOCIAL_HEALTH_CARE;iterate GB;2020-09-17;false
3;ID_CARD;haptic compressing;2020-09-17;false
4;SOCIAL_HEALTH_CARE;superstructure Via engineer;2020-09-17;false
5;EU_CARD;invoice Hryvnia Cross-group;2020-09-18;true
6;EU_CARD;Granite parse;2020-09-17;true
7;EU_CARD;functionalities expedite;2020-09-17;true
8;SOCIAL_SECURITY;Avon;2020-09-18;true
9;PASSPORT;solid state;2020-09-17;true
10;DRIVERS_LICENCE;Gibraltar overriding cross-platf;2020-09-18;false
