id;name_long;name_short;institution_id;email;phone;account_number
1;Berkshire deliverables Customer;interface parsing;"C8DPY;"%@b_a.[=D:q";"+5";Auto Loan Account
2;silver;French Guiana value-added inst;"HB6HZ;",m@{9uOs.vg7";"++++++401";synergies Berkshire
3;Cambridgeshire;Savings Account;"TOZPP;"&@aO1.~ta-";"++++++3079";Intelligent Granite Hat Oregon
4;Specialist;Credit Card Account Row;"W";".i@GDfo.Y?*D";"++93";Tunisia deposit Borders
5;Cambridgeshire Legacy transmit;client-driven purple open-sour;"HY";"dZ|@wm;.n";"+++++290";navigate Wooden
6;end-to-end;Frozen Computer;"U7";"4\[a@JbQ:,q.`&h";"+++262";Thailand
7;Tactics virtual;Checking Account discrete;"4IKA4;"20`@_,:ze.Y[>a";"++763356";Automotive
8;Tanzanian Shilling;bluetooth Producer;"87NSY;"b@]3k*U.nO(F";"++++390";navigate moratorium collaborative
9;International Savings Account;Producer;"6VGTD;"nWbCJ@y>Ldn.Mx";"++++++64201";Senior Concrete Equatorial Guinea
10;Senior encryption;Shirt Reverse-engineered payme;"IV4";"8~}:@+TCrk.nnnjsW";"+++++98";technologies neural
